Unnamed: 0,resp_id,any_missing,party_lean,gender,highest_edu,trust_gov_dc_V241229,trust_court_system_V241230,corrupt_officials_V241233,trust_people_V241234,trust_election_officials_V241315,trust_judiciary_V242419,trust_gov_V242418,trust_congress_V242417,trust_news_media_V241335,trust_social_media_V242422,trust_parties_V242421,trust_scientists_V242420,x,y
1,140001,False,Strong Rep,Male,Bachelors,5,2,2,3,1,4,4,4,1,4,4,2,74.60692,10.316867
2,140002,False,Independent,Female,Some college,5,4,2,3,3,3,4,4,2,4,4,2,74.932594,14.982673
3,140003,False,Strong Dem,Female,Some college,4,4,3,3,4,2,3,3,3,2,3,1,8.578005,34.80658
4,140004,False,Not strong Rep,Male,Some college,4,3,4,4,3,1,2,2,3,2,2,2,-34.039703,-41.551155
5,140005,False,Lean Rep,Male,Advanced Degree,5,4,2,4,1,3,4,4,1,4,4,2,73.72851,11.851155
6,140006,False,Lean Dem,Female,Some college,4,5,2,4,4,2,3,3,3,2,4,1,12.117757,32.97555
7,140007,False,Independent,Female,Some college,5,5,2,3,3,3,3,3,2,2,3,2,43.24657,35.45935
8,140008,False,Not strong Rep,Female,Some college,3,5,2,5,1,4,4,2,1,2,4,2,55.499958,28.912708
9,140010,False,Lean Dem,Male,HS,5,4,1,2,2,3,3,3,1,4,4,2,67.94022,4.497785
10,140011,False,Strong Dem,Female,HS,4,4,3,4,4,4,4,4,3,3,4,1,45.40357,58.12265
11,140012,False,Not strong Dem,Male,HS,4,3,3,2,4,3,3,3,2,3,3,2,48.87931,31.156971
12,140013,False,Lean Rep,Female,HS,5,5,2,5,1,4,3,4,3,3,4,4,91.27788,0.5119724
13,140014,False,Lean Dem,Male,Advanced Degree,4,4,4,2,4,3,2,3,3,2,2,2,-34.13834,34.031967
14,140016,False,Strong Rep,Male,Some college,4,4,2,3,3,3,4,3,2,3,2,2,60.426556,-20.89722
15,140017,False,Lean Dem,Male,Bachelors,3,4,3,2,4,3,3,3,3,2,4,2,34.575943,47.41201
16,140018,False,Strong Dem,Male,Bachelors,2,2,4,2,4,2,2,3,3,2,3,1,-35.433094,67.961105
17,140019,False,Not strong Dem,Female,Bachelors,3,3,4,2,5,2,2,3,3,1,3,1,-29.270632,65.91668
18,140021,False,Strong Rep,Male,Bachelors,5,4,2,3,3,3,3,2,3,4,2,2,16.400438,-71.32668
19,140023,False,Lean Dem,Male,Advanced Degree,4,4,3,3,5,3,3,4,2,3,4,2,51.894264,60.678112
20,140026,False,Strong Dem,Male,Bachelors,3,4,3,2,4,2,2,2,3,2,3,1,-38.333954,21.132496
21,140027,False,Strong Rep,Female,HS,2,2,4,2,5,2,2,2,3,3,1,2,-38.769432,-69.64263
22,140028,False,Not strong Rep,Male,Bachelors,4,4,2,3,2,3,3,3,2,3,3,3,81.7385,-9.590404
23,140029,False,Lean Rep,Male,Advanced Degree,4,4,3,2,5,2,2,3,3,2,3,1,-22.998228,52.864845
24,140030,False,Not strong Dem,Male,HS,5,4,2,5,1,4,4,4,1,4,4,4,85.37217,2.0278814
25,140032,False,Lean Rep,Male,HS,5,5,1,2,1,3,4,4,1,4,4,2,71.104836,10.919297
26,140033,False,Strong Dem,Female,Advanced Degree,3,3,4,2,4,2,2,2,4,2,2,1,-92.559326,3.1588655
27,140034,False,Strong Rep,Male,Bachelors,4,4,4,2,4,3,3,3,1,4,3,3,30.041225,-15.920692
28,140035,False,Lean Dem,Female,Advanced Degree,4,2,3,2,5,2,3,3,3,2,3,1,-11.728046,30.975727
29,140037,False,Not strong Dem,Female,Some college,3,3,2,3,3,2,2,2,2,3,2,2,-17.296339,-56.47572
30,140038,False,Not strong Dem,Female,Advanced Degree,4,2,3,2,5,2,3,3,4,3,4,1,-6.274196,29.123001
31,140039,False,Strong Dem,Female,Advanced Degree,3,3,3,2,4,2,2,3,3,1,2,1,-78.76542,23.53858
32,140040,False,Not strong Rep,Male,Bachelors,4,4,4,2,3,2,2,2,2,3,2,2,-22.439034,-80.46535
33,140043,False,Strong Rep,Male,Advanced Degree,4,4,2,4,2,3,3,3,1,4,2,1,63.182114,22.220625
34,140044,False,Strong Rep,Female,Bachelors,3,3,3,3,1,2,2,2,2,4,2,3,-8.83982,-70.10141
35,140046,False,Strong Rep,Male,<HS,3,3,2,3,3,3,3,3,3,4,3,2,44.020485,28.687124
36,140048,False,Lean Dem,Male,Bachelors,5,4,4,2,5,2,2,3,3,2,3,1,-21.33059,55.401554
37,140049,False,Strong Rep,Female,Bachelors,4,2,2,2,3,2,3,3,2,2,3,2,16.382069,-23.84282
38,140050,False,Lean Dem,Male,Advanced Degree,2,2,4,2,5,1,2,1,5,1,2,1,-80.35928,3.650451
39,140052,False,Strong Dem,Female,Advanced Degree,2,2,4,2,5,3,2,3,3,2,3,1,-13.689298,77.441345
40,140053,False,Lean Dem,Male,HS,3,4,4,4,5,4,2,4,4,4,3,4,37.7373,12.164307
41,140054,False,Lean Rep,Female,Some college,4,2,2,3,3,2,3,2,1,4,3,3,15.986649,-32.030876
42,140055,False,Strong Dem,Female,Advanced Degree,3,3,4,3,5,3,3,3,4,2,3,1,17.01197,72.37826
43,140056,False,Lean Dem,Male,Advanced Degree,3,2,4,2,5,2,2,3,3,2,3,1,-31.888233,65.43299
44,140057,False,Lean Rep,Male,HS,4,4,2,3,3,3,3,3,2,3,3,3,81.92268,-9.186065
45,140058,False,Lean Rep,Male,HS,3,3,3,3,4,2,3,2,2,3,2,2,-35.282715,-63.97218
46,140060,False,Not strong Dem,Female,Advanced Degree,5,5,2,4,1,2,3,2,1,4,3,2,18.73083,-47.512352
47,140061,False,Strong Dem,Male,Advanced Degree,3,3,4,2,3,2,2,3,3,2,2,1,-82.945946,23.500965
48,140062,False,Strong Dem,Female,Advanced Degree,4,5,2,4,1,3,3,4,2,2,4,1,61.495052,28.211592
49,140063,False,Lean Dem,Male,Bachelors,4,2,4,2,4,2,3,3,2,3,3,2,11.781074,-8.271073
50,140065,False,Not strong Dem,Male,Some college,4,3,2,3,4,3,3,3,1,3,4,1,49.642395,40.883465
51,140066,False,Strong Dem,Female,Advanced Degree,3,3,4,2,5,4,3,1,4,3,3,1,9.610313,71.8254
52,140067,False,Strong Dem,Female,Advanced Degree,3,2,3,2,5,1,2,3,3,1,3,1,-42.86184,64.78328
53,140070,False,Not strong Dem,Female,Some college,4,4,2,2,5,3,4,3,2,3,4,1,51.686295,47.749504
54,140073,False,Strong Rep,Male,Some college,4,4,4,2,3,2,3,2,2,3,2,2,-5.759588,-82.86931
55,140074,False,Independent,Male,Bachelors,5,4,2,4,1,4,4,4,2,2,2,2,60.90591,-24.041605
56,140076,False,Strong Dem,Male,Advanced Degree,4,3,4,2,5,2,2,3,3,2,2,1,-76.20062,20.09826
57,140077,False,Lean Rep,Male,Some college,4,4,4,4,2,2,2,2,2,4,2,2,-15.131629,-67.22238
58,140078,False,Strong Dem,Female,HS,2,2,4,3,5,3,2,2,4,2,3,2,-38.650536,4.921232
59,140079,False,Lean Dem,Male,Bachelors,4,3,4,2,5,2,3,3,3,2,4,2,-4.510216,32.413937
60,140080,False,Strong Rep,Female,Some college,2,2,3,2,3,2,3,2,5,3,2,4,2.6923618,-2.194568
61,140081,False,Not strong Dem,Female,Bachelors,3,2,3,3,5,1,2,2,4,1,2,1,-77.18968,-0.043242216
62,140082,False,Not strong Dem,Female,Some college,3,3,3,4,3,3,3,3,3,3,3,3,43.272453,11.43085
63,140083,False,Lean Dem,Female,Bachelors,4,4,3,3,3,4,4,4,3,3,4,1,45.127506,57.250214
64,140084,False,Strong Dem,Female,Some college,2,2,3,4,5,2,2,3,2,3,3,2,-8.130658,1.9876128
65,140085,False,Lean Dem,Female,Advanced Degree,5,4,2,3,3,2,3,2,2,2,3,2,10.123385,-48.83794
66,140086,False,Lean Dem,Female,Bachelors,5,5,2,3,2,3,4,4,3,2,4,1,61.951977,31.56704
67,140087,False,Strong Rep,Female,HS,3,2,3,3,1,2,3,3,4,2,3,2,-5.6113734,7.7337513
68,140088,False,Not strong Rep,Female,Bachelors,4,4,2,2,3,3,3,3,2,3,3,3,70.55842,-1.3016412
69,140089,False,Not strong Rep,Female,Advanced Degree,4,4,3,3,3,2,3,3,1,3,3,2,57.348274,-49.866867
70,140090,False,Not strong Rep,Female,Advanced Degree,4,3,2,2,1,3,3,3,3,3,3,1,62.36901,24.95691
71,140092,False,Not strong Dem,Male,HS,4,4,4,2,5,2,2,3,4,2,2,2,-32.301,36.19346
72,140093,False,Lean Rep,Male,Bachelors,5,4,3,2,4,2,3,3,1,3,2,2,31.210058,-55.38335
73,140094,False,Strong Rep,Female,Advanced Degree,3,3,3,3,3,2,2,2,3,3,2,2,-28.997396,-65.88984
74,140095,False,Lean Dem,Male,Some college,3,4,4,2,5,2,3,2,5,1,3,1,-41.260624,18.47539
75,140096,False,Not strong Dem,Female,Some college,3,4,3,2,5,4,3,3,3,2,4,1,27.44301,80.965294
76,140101,False,Strong Dem,Female,Advanced Degree,4,4,3,4,5,2,3,3,2,2,3,2,20.338999,30.538404
77,140102,False,Strong Rep,Female,Some college,4,4,2,2,5,3,2,2,1,3,2,2,-3.426839,-60.692173
78,140103,False,Not strong Rep,Male,Some college,5,3,2,3,1,2,3,3,1,3,3,2,49.0403,-41.338066
79,140105,False,Strong Rep,Female,HS,4,4,2,3,3,1,2,2,2,4,2,3,-9.053514,-75.3625
80,140108,False,Not strong Dem,Female,Some college,4,4,4,4,4,3,3,3,2,2,3,2,22.60186,42.296608
81,140110,False,Strong Rep,Male,Advanced Degree,4,3,4,4,2,3,3,3,2,3,3,3,40.021408,4.1512537
